point_id,draw_kind,umc_mc_dvth0_n_splvt,umc_mc_dvth0_p_splvt,umc_mc_du0_n_splvt,umc_mc_du0_p_splvt,umc_mc_dtoxe_n_splvt,umc_mc_dtoxe_p_splvt,umc_mc_dtoxp_n_splvt,umc_mc_dtoxp_p_splvt,umc_mc_dxl_n_splvt,umc_mc_dxl_p_splvt,umc_mc_dxw_n_splvt,umc_mc_dxw_p_splvt,umc_mc_dvth0_n_sphvt,umc_mc_dvth0_p_sphvt,umc_mc_du0_n_sphvt,umc_mc_du0_p_sphvt,umc_mc_dtoxe_n_sphvt,umc_mc_dtoxe_p_sphvt,umc_mc_d_c1_vp,umc_mc_d_cox_vp
0,tt_baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,grid_pp,0.003,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,grid_mm,-0.003,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,grid_pm,0.003,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,gaussian_clipped_3sigma,0.0009141512392632941,-0.0020799682124809913,0.0009380639947580715,0.0011757058954890173,-1.9510351886538364e-10,-1.302179506862318e-10,1.2784040316728538e-11,-3.162425923435822e-11,-2.6881852006862072e-11,-1.3648702841177281e-09,2.6381939245884855e-09,2.3333758062868448e-09,0.00013206139512243208,0.002254482413936066,0.0004675093422520456,-0.0008592924628832382,2.950006272659991e-11,-7.67106080663199e-11,0.008784503013072726,-0.000499259109862529
5,gaussian_clipped_3sigma,-0.0005545870906357817,-0.0013618590888078827,0.0015281766733425378,-0.0001931618525860027,-4.283278221631072e-11,-3.521335504882296e-11,5.323091855533487e-11,3.654440643640783e-11,6.603721785535815e-10,6.893136048126124e-10,6.424942802611384e-09,-1.2192450491538467e-09,-0.0010244854581430748,-0.0016275454564957555,0.0006159794225754957,0.0011289722927208916,-9.115796612390006e-12,-6.721251815700224e-11,-0.008244812156912395,0.0065059278782470115
6,gaussian_clipped_3sigma,0.0022297625136103267,0.00108630853661039,-0.0008318871341108679,0.0002902016538333997,1.1668580914072822e-11,2.1868859672901297e-11,8.714287779481899e-11,2.2359554877468226e-11,1.0862617009150318e-09,1.0812651118222634e-10,8.673581960699525e-10,1.893864677515621e-09,-0.002914311639711333,-0.0006393424327146026,-0.0004703726542927955,-0.0006388778482433419,-2.2011380098134697e-11,1.1959530489875167e-10,-0.008658311156932432,0.009682783545914809
7,gaussian_clipped_3sigma,-0.0050486093148474145,-0.0006697700599715497,0.000203441331381257,0.0007327779141990977,7.11226579792855e-11,7.933472351999253e-11,-3.487250722484376e-11,-4.623517926645672e-11,1.3727614100114461e-09,-3.060869198105838e-10,-3.8270589700137655e-09,-3.399861642010442e-09,-0.0018389045720032227,0.0009943214881075282,0.00014242573607056524,0.0006904853540677683,-3.418021170692274e-11,1.2683175286137137e-11,0.006255903939673367,-0.003093465397202384
8,gaussian_clipped_3sigma,0.0013703257126722343,-0.0013238518821333026,-0.00045381730820633976,-0.0004771723674979114,-1.1958396455890397e-10,4.869724807855818e-11,-4.694023402027239e-11,1.249411872768743e-12,7.691946542494543e-10,7.144498816479106e-10,1.996155326918359e-09,-2.9545645352827085e-10,-0.0008465966240883075,-0.0001594364218127981,-0.0016873344339580299,-0.0014471124724230874,-1.0581596898835218e-10,-7.977974620811854e-11,0.003997742267234366,-0.009054790553600608
9,gaussian_clipped_3sigma,-0.001134487662118169,0.002598456595572131,-0.00044532996382678244,0.0009218944605838582,-9.33617680009877e-11,-2.0543755786763e-11,-9.500220549105813e-11,-3.3903307590056246e-11,1.3444930199318329e-09,-2.763712677107758e-09,1.303270930637572e-09,7.132068069968336e-10,-0.001188299911393589,-0.0028921157087769093,7.212950771386952e-05,-0.0005294927090638025,1.8614096908376316e-11,1.7481716418754302e-12,0.016017788913209156,-0.0023935562747302427
10,gaussian_clipped_3sigma,-0.003070492477865595,0.0003585512699126323,0.00027499585496470645,0.0016989844690505458,8.351112459145786e-11,3.5687105914950936e-11,1.4633028912195618e-10,-1.188763054322851e-10,-1.0236024523995964e-09,-1.4825215062488398e-09,-1.169429409467304e-09,-4.1300584426689266e-09,0.0012703018936288087,-0.00044444539419754675,-0.001470806294502658,-0.0010155790812075415,2.508110779601562e-11,6.705012543155048e-11,0.019967308916917864,0.029138624660073296
11,gaussian_clipped_3sigma,0.0012432282998279891,-0.001979076240063728,-0.0026650578509141367,0.0003346393279297948,-8.129410953103261e-11,-4.1535726017968535e-11,-6.120967990598081e-11,-1.4079088641638528e-11,1.7055683692602297e-09,2.5127770791255143e-10,-4.759045111160649e-10,-3.1069612584774347e-09,-0.003349365889408714,-0.0009726158181466618,-5.3782550818320494e-05,0.001767929913579883,1.0421961717830866e-11,7.86191608818446e-11,-0.00499295598539152,-0.011849437664170246
12,gaussian_clipped_3sigma,-0.002895350286697116,-0.0014504521290715064,0.0026605871655439556,-0.0010267333490304826,8.38489203736345e-11,-9.029271780870264e-11,9.315730128742442e-11,3.849509661058632e-11,-2.506206362529447e-10,-6.522004181669444e-11,-1.9643630862881713e-09,1.3382166044462417e-09,-0.00090996696068156,-0.0024512115275344966,-0.0012779375743196192,0.0001725879177221195,1.2632730051283477e-10,1.2799329085875058e-11,-0.0011863832610988256,0.002858261396025429
13,gaussian_clipped_3sigma,0.003918005225120475,0.0004387650027277127,-0.0005136590385421715,0.0013828608875748611,4.287564384616135e-11,1.535755991995992e-10,1.8323443722190615e-11,-1.2244690317205003e-10,-2.189054718793064e-09,2.6414846915699994e-09,5.170997162349891e-09,-5.38557639847802e-10,-0.0007663746422719755,0.0029228885844844042,-0.001107045682043488,-0.0008947270189558264,5.146614357512355e-11,-3.1568409828767164e-11,-5.121866720071296e-05,-0.0016344289852451258
