"/OA_Charge (umc_mc_d_c1_vp=-0.067,umc_mc_d_cox_vp=-0.067) X","/OA_Charge (umc_mc_d_c1_vp=-0.067,umc_mc_d_cox_vp=-0.067) Y","/OA_Charge (umc_mc_d_c1_vp=-0.067,umc_mc_d_cox_vp=0) X","/OA_Charge (umc_mc_d_c1_vp=-0.067,umc_mc_d_cox_vp=0) Y","/OA_Charge (umc_mc_d_c1_vp=-0.067,umc_mc_d_cox_vp=0.067) X","/OA_Charge (umc_mc_d_c1_vp=-0.067,umc_mc_d_cox_vp=0.067) Y","/OA_Charge (umc_mc_d_c1_vp=0,umc_mc_d_cox_vp=-0.067) X","/OA_Charge (umc_mc_d_c1_vp=0,umc_mc_d_cox_vp=-0.067) Y","/OA_Charge (umc_mc_d_c1_vp=0,umc_mc_d_cox_vp=0) X","/OA_Charge (umc_mc_d_c1_vp=0,umc_mc_d_cox_vp=0) Y","/OA_Charge (umc_mc_d_c1_vp=0,umc_mc_d_cox_vp=0.067) X","/OA_Charge (umc_mc_d_c1_vp=0,umc_mc_d_cox_vp=0.067) Y","/OA_Charge (umc_mc_d_c1_vp=0.067,umc_mc_d_cox_vp=-0.067) X","/OA_Charge (umc_mc_d_c1_vp=0.067,umc_mc_d_cox_vp=-0.067) Y","/OA_Charge (umc_mc_d_c1_vp=0.067,umc_mc_d_cox_vp=0) X","/OA_Charge (umc_mc_d_c1_vp=0.067,umc_mc_d_cox_vp=0) Y","/OA_Charge (umc_mc_d_c1_vp=0.067,umc_mc_d_cox_vp=0.067) X","/OA_Charge (umc_mc_d_c1_vp=0.067,umc_mc_d_cox_vp=0.067) Y"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8e-10,-8.170458563548487e-15,8e-10,-8.170357417135984e-15,8e-10,-8.170256273306635e-15,8e-10,-8.365470642835475e-15,8e-10,-8.365371540821965e-15,8e-10,-8.36527244122394e-15,8e-10,-8.714193905955334e-15,8e-10,-8.714095638322682e-15,8e-10,-8.713997372981922e-15
2.4e-09,-1.070098718276959e-14,2.4e-09,-1.070088259733208e-14,2.4e-09,-1.070074683330529e-14,2.4e-09,-1.078506247718942e-14,2.4e-09,-1.078496286067391e-14,2.4e-09,-1.078483140161643e-14,2.4e-09,-1.222857472359098e-14,2.4e-09,-1.222845670375209e-14,2.4e-09,-1.222833985806949e-14
5.6e-09,-1.670765383062869e-14,5.6e-09,-1.670754067325629e-14,5.6e-09,-1.670728201343559e-14,5.6e-09,-1.648075878406145e-14,5.6e-09,-1.648059683064109e-14,5.6e-09,-1.648056774917615e-14,5.6e-09,-1.775256199161402e-14,5.6e-09,-1.775246519766467e-14,5.6e-09,-1.775217980323052e-14
1.2e-08,-3.727429289152598e-14,1.2e-08,-3.727420462100919e-14,1.2e-08,-3.727390653254805e-14,1.2e-08,-3.603876529273609e-14,1.2e-08,-3.603859918039783e-14,1.2e-08,-3.603808026946585e-14,1.2e-08,-3.137823506233546e-14,1.2e-08,-3.137805239184332e-14,1.2e-08,-3.137787364517631e-14
2.48e-08,-4.437769435269978e-14,2.48e-08,-4.43772344576192e-14,2.48e-08,-4.437688824267201e-14,2.48e-08,-4.277931358484197e-14,2.48e-08,-4.277904412261615e-14,2.48e-08,-4.277907121925571e-14,2.48e-08,-6.09379967615584e-14,2.48e-08,-6.093743732702812e-14,2.48e-08,-6.093663933238313e-14
3.74e-08,-6.185127948393816e-14,3.74e-08,-6.185088912175247e-14,3.74e-08,-6.185027343547845e-14,3.74e-08,-5.855444478001768e-14,3.74e-08,-5.855388755652117e-14,3.74e-08,-5.8553193515215e-14,3.74e-08,-7.687519777397989e-14,3.74e-08,-7.687474755703782e-14,3.74e-08,-7.687418412986585e-14
5e-08,-6.897603318230569e-14,5e-08,-6.897519760706217e-14,5e-08,-6.897471451731343e-14,5e-08,-6.042140468594631e-14,5e-08,-6.04213283138984e-14,5e-08,-6.042095774540474e-14,5e-08,-5.781913906956245e-14,5e-08,-5.781788920711993e-14,5e-08,-5.781738688691227e-14
5.0025e-08,1.884538894246292e-09,5.0025e-08,1.884491675187419e-09,5.0025e-08,1.884445088174832e-09,5.0025e-08,1.893134428110187e-09,5.0025e-08,1.89308907440945e-09,5.0025e-08,1.893041828007661e-09,5.0025e-08,1.900476985934676e-09,5.0025e-08,1.900428462509834e-09,5.0025e-08,1.90038389584564e-09
5.006416597520192e-08,-2.002282663236302e-07,5.006416597520192e-08,-2.002201955613055e-07,5.006416597520192e-08,-2.002121276320086e-07,5.006416597520192e-08,-2.069053852325884e-07,5.006416597520192e-08,-2.068972847312177e-07,5.006416597520192e-08,-2.068891831309948e-07,5.006416597520192e-08,-2.127682856231222e-07,5.006416597520192e-08,-2.127601777554053e-07,5.006416597520192e-08,-2.127520713921584e-07
5.007781837724161e-08,2.388634116000358e-07,5.00778183772416e-08,2.388594410539926e-07,5.00778183772416e-08,2.388554693574451e-07,5.00778183772406e-08,2.246989702161518e-07,5.007781837724059e-08,2.246954059606851e-07,5.007781837724059e-08,2.246918420813638e-07,5.007781837723966e-08,2.119558026692048e-07,5.007781837723966e-08,2.1195261509923e-07,5.007781837723966e-08,2.119494265712587e-07
5.00889091886208e-08,3.076081599977547e-08,5.00889091886208e-08,3.076487520972685e-08,5.00889091886208e-08,3.076893481118296e-08,5.008890918862029e-08,1.93268655073071e-08,5.008890918862029e-08,1.933107556225014e-08,5.008890918862029e-08,1.933528288658826e-08,5.008890918861983e-08,8.010451286277024e-09,5.008890918861983e-08,8.014783741950827e-09,5.008890918861983e-08,8.019114409948459e-09
5.00944545943104e-08,-4.310502371599869e-06,5.00944545943104e-08,-4.310359963810289e-06,5.00944545943104e-08,-4.310217563141661e-06,5.009445459431015e-08,-4.290804766022829e-06,5.009445459431015e-08,-4.290665393551132e-06,5.009445459431015e-08,-4.290526031211435e-06,5.009445459430991e-08,-4.276689104094114e-06,5.009445459430991e-08,-4.276552872601565e-06,5.009445459430991e-08,-4.276416650718463e-06
5.01e-08,-1.483811195749495e-05,5.01e-08,-1.483765047048775e-05,5.01e-08,-1.483718901044738e-05,5.01e-08,-1.476264615507498e-05,5.01e-08,-1.476219431875734e-05,5.01e-08,-1.476174250840623e-05,5.01e-08,-1.469215219565273e-05,5.01e-08,-1.469171018553164e-05,5.01e-08,-1.469126820207049e-05
5.010301280856971e-08,-2.189024718338902e-05,5.010301280856971e-08,-2.18895920930807e-05,5.01030128085697e-08,-2.188893704061378e-05,5.010301280856777e-08,-2.179553747961204e-05,5.010301280856777e-08,-2.17948953002641e-05,5.010301280856776e-08,-2.179425315813731e-05,5.010301280856591e-08,-2.170300301924396e-05,5.01030128085659e-08,-2.170237397839353e-05,5.01030128085659e-08,-2.170174497337981e-05
5.010797363245747e-08,-3.232608451789533e-05,5.010797363245747e-08,-3.23251657309263e-05,5.010797363245745e-08,-3.232424699364871e-05,5.010797363245506e-08,-3.222126696784157e-05,5.010797363245506e-08,-3.222036473323403e-05,5.010797363245505e-08,-3.221946254659826e-05,5.010797363245274e-08,-3.210957006450247e-05,5.010797363245274e-08,-3.210868470982607e-05,5.010797363245274e-08,-3.210779940271392e-05
5.011286494723198e-08,-3.84632236512819e-05,5.011286494723198e-08,-3.846220532596906e-05,5.011286494723197e-08,-3.846118704976271e-05,5.011286494722901e-08,-3.839486401555828e-05,5.011286494722901e-08,-3.839386166858051e-05,5.011286494722901e-08,-3.839285937141142e-05,5.011286494722616e-08,-3.830179622624079e-05,5.011286494722615e-08,-3.830081036948563e-05,5.011286494722615e-08,-3.829982456152239e-05
5.012163938180238e-08,-3.53503212156054e-05,5.012163938180234e-08,-3.534957545423929e-05,5.012163938180237e-08,-3.534882971782826e-05,5.01216393817951e-08,-3.542176608836025e-05,5.012163938179511e-08,-3.542102676205447e-05,5.012163938179511e-08,-3.542028746187089e-05,5.0121639381787e-08,-3.544170999550423e-05,5.012163938178698e-08,-3.544097785744483e-05,5.012163938178703e-08,-3.544024574779841e-05
5.012787638983616e-08,-2.523239062724461e-05,5.012787638983611e-08,-2.523204703188202e-05,5.012787638983614e-08,-2.523170343640174e-05,5.01278763898197e-08,-2.540435943764268e-05,5.012787638981969e-08,-2.54040135588169e-05,5.012787638981968e-08,-2.540366768049797e-05,5.012787638980266e-08,-2.552509955140373e-05,5.012787638980264e-08,-2.552475197110622e-05,5.012787638980267e-08,-2.552440439297134e-05
5.013443279017034e-08,-1.466480973736492e-05,5.013443279017026e-08,-1.4664820428324e-05,5.013443279017029e-08,-1.466483110035454e-05,5.013443279013852e-08,-1.488688515075234e-05,5.013443279013851e-08,-1.488688837990841e-05,5.013443279013849e-08,-1.488689159112351e-05,5.013443279010672e-08,-1.507909841664934e-05,5.013443279010669e-08,-1.507909425050133e-05,5.013443279010674e-08,-1.507909006574581e-05
5.014172036463611e-08,-6.119335494474548e-06,5.014172036463601e-08,-6.119579438170132e-06,5.014172036463604e-08,-6.119823354649612e-06,5.01417203645928e-08,-6.331197394657909e-06,5.014172036459278e-08,-6.33143315146791e-06,5.014172036459275e-08,-6.331668881247569e-06,5.014172036454991e-08,-6.532447477517506e-06,5.014172036454987e-08,-6.532674555169105e-06,5.014172036454991e-08,-6.532901605304909e-06
5.014931883543616e-08,-1.750288016637388e-07,5.014931883543604e-08,-1.753884588155763e-07,5.014931883543606e-08,-1.757480857914927e-07,5.014931883537313e-08,-3.333690071863864e-07,5.014931883537309e-08,-3.337225980529885e-07,5.014931883537305e-08,-3.340761607346152e-07,5.014931883531149e-08,-5.016476463230544e-07,5.014931883531143e-08,-5.019941883822885e-07,5.014931883531147e-08,-5.023407009288119e-07
5.015840092142513e-08,4.903116370495315e-06,5.015840092142498e-08,4.902696154734734e-06,5.0158400921425e-08,4.902275966522535e-06,5.015840092133026e-08,4.827648077048115e-06,5.015840092133021e-08,4.827230769476426e-06,5.015840092133015e-08,4.826813488441594e-06,5.01584009212394e-08,4.728872940797612e-06,5.015840092123932e-08,4.728459829884002e-06,5.015840092123936e-08,4.728046745678249e-06
5.017035078006519e-08,1.054393217627058e-05,5.0170350780065e-08,1.054346598579661e-05,5.017035078006504e-08,1.05429998191187e-05,5.01703507799588e-08,1.057491360443792e-05,5.017035077995875e-08,1.05744475435137e-05,5.017035077995868e-08,1.057398150682448e-05,5.017035077985429e-08,1.056733906914774e-05,5.01703507798542e-08,1.056687453678285e-05,5.017035077985427e-08,1.056641002935779e-05
5.018908817900842e-08,1.695301453762162e-05,5.018908817900818e-08,1.695253800644882e-05,5.018908817900833e-08,1.69520614924093e-05,5.018908817895601e-08,1.713283677599622e-05,5.018908817895597e-08,1.713235823916255e-05,5.018908817895595e-08,1.713187971479362e-05,5.018908817890001e-08,1.726542527250862e-05,5.01890881788999e-08,1.726494584609863e-05,5.01890881789001e-08,1.726446643476174e-05
5.021518370114881e-08,1.835397269370629e-05,5.021518370114829e-08,1.835364144183577e-05,5.021518370114775e-08,1.835331019516954e-05,5.02151837010219e-08,1.867776095359484e-05,5.021518370102202e-08,1.867742655594302e-05,5.021518370102211e-08,1.867709216491326e-05,5.021518370089509e-08,1.895386062772924e-05,5.021518370089473e-08,1.895352354764562e-05,5.021518370089463e-08,1.895318646877324e-05
