"/OA_Charge (modelFiles=nom,VDD=1.1,temperature=27) X","/OA_Charge (modelFiles=nom,VDD=1.1,temperature=27) Y","/OA_Charge (modelFiles=l65sp_v132.lib.scs:ff_sp_lvt11,l65sp_v132.lib.scs:ff_65_momcaps,l65sp_v132.lib.scs:ff_sp_hvt11,VDD=1.21,temperature=-40) X","/OA_Charge (modelFiles=l65sp_v132.lib.scs:ff_sp_lvt11,l65sp_v132.lib.scs:ff_65_momcaps,l65sp_v132.lib.scs:ff_sp_hvt11,VDD=1.21,temperature=-40) Y","/OA_Charge (modelFiles=l65sp_v132.lib.scs:ss_65_momcaps,l65sp_v132.lib.scs:ss_sp_hvt11,l65sp_v132.lib.scs:ss_sp_lvt11,VDD=0.99,temperature=85) X","/OA_Charge (modelFiles=l65sp_v132.lib.scs:ss_65_momcaps,l65sp_v132.lib.scs:ss_sp_hvt11,l65sp_v132.lib.scs:ss_sp_lvt11,VDD=0.99,temperature=85) Y","/OA_Charge (modelFiles=l65sp_v132.lib.scs:fnsp_sp_hvt11,l65sp_v132.lib.scs:fnsp_sp_lvt11,l65sp_v132.lib.scs:tt_65_momcaps,VDD=1.1,temperature=27) X","/OA_Charge (modelFiles=l65sp_v132.lib.scs:fnsp_sp_hvt11,l65sp_v132.lib.scs:fnsp_sp_lvt11,l65sp_v132.lib.scs:tt_65_momcaps,VDD=1.1,temperature=27) Y"
0,0,0,0,0,0,0,0
8e-10,4.463073979628883e-21,8e-10,-2.588893960778899e-21,8e-10,6.863752295752024e-21,8e-10,-7.09687319271842e-21
2.4e-09,-3.386184327716446e-21,2.4e-09,2.4754139145951e-20,2.4e-09,-1.168359600425367e-20,2.4e-09,-3.087081684437251e-20
5.6e-09,3.018444281637664e-20,5.6e-09,-5.872909059921318e-21,5.6e-09,2.531859739942242e-20,5.6e-09,-2.362650914441537e-20
1.2e-08,-6.977328869339037e-20,1.2e-08,7.451023177134651e-21,1.2e-08,-8.684531373548869e-20,1.2e-08,1.764835349062216e-20
2.48e-08,7.599090226312629e-20,2.48e-08,1.298024301019251e-20,2.48e-08,1.056528627465459e-19,2.48e-08,-1.842430539816557e-20
3.74e-08,-9.013189953823216e-20,3.74e-08,-1.216205750556867e-20,3.74e-08,-1.148857674707007e-19,3.74e-08,-6.669750480033757e-21
5e-08,1.057629630637076e-19,5e-08,2.829654675184433e-20,5e-08,7.699318578554098e-20,5e-08,3.772124007531292e-21
5.0025e-08,-2.349923524181384e-11,5.000625e-08,1.734609269151766e-09,5.0025e-08,4.035821458149184e-10,5.0025e-08,-1.338580944163076e-10
5.00347914937119e-08,-1.266759449769631e-08,5.002179260032519e-08,-7.501942450349397e-09,5.006416729228415e-08,-2.067728046387828e-08,5.003479149371586e-08,-1.552249327167305e-08
5.004645455504641e-08,-1.147288761425889e-08,5.003322497418574e-08,-3.984359117774696e-09,5.007312546921311e-08,-2.281320758820938e-08,5.003968724057379e-08,-1.706076098207168e-08
5.004970254612221e-08,-1.251950653522608e-08,5.003745552969754e-08,2.078523062484644e-09,5.00875453578139e-08,9.349538090761173e-07,5.004947873428965e-08,-6.74575907158289e-09
5.00561985282738e-08,-1.016039812078017e-08,5.004591664072114e-08,1.193618615774504e-08,5.009377267890694e-08,2.050318580087751e-06,5.005495001669449e-08,-3.519479110871682e-09
5.006089906323542e-08,2.400935959995022e-08,5.004886893889589e-08,1.722566078745839e-08,5.01e-08,-7.973707634783653e-07,5.005979043084194e-08,6.634026441080308e-08
5.006619500908618e-08,1.924369962324663e-07,5.005477353524539e-08,1.107675701508629e-07,5.010247220376442e-08,-4.893673897256808e-06,5.006458032404777e-08,3.319770335052042e-07
5.007147180509431e-08,7.046490245927053e-07,5.005915242267937e-08,3.317924325156619e-07,5.010695354645259e-08,-1.550978880856256e-05,5.00679838457516e-08,8.084724438439191e-07
5.007550318667276e-08,1.854916033076665e-06,5.006426632688301e-08,7.256868412590619e-07,5.011176449042975e-08,-2.619842504916388e-05,5.007166098882013e-08,1.872933984374099e-06
5.007991956454749e-08,6.22541704998241e-07,5.006841987656036e-08,6.450107804365672e-07,5.011745601714087e-08,-2.646486243914945e-05,5.007583885609055e-08,-4.901545265752675e-07
5.008434617471052e-08,-1.16312493892859e-05,5.007278822721e-08,-1.251964606042822e-05,5.012250264634457e-08,-1.605038479469565e-05,5.007966386962685e-08,-1.197181590103852e-05
5.008802646725149e-08,-2.927569588638518e-05,5.007600814154711e-08,-3.105249716321291e-05,5.012779633265175e-08,-4.608652376995779e-06,5.008321698434076e-08,-3.119614032499683e-05
5.009204760574982e-08,-3.126684726070982e-05,5.00791698710623e-08,-2.745312066347367e-05,5.013357210570317e-08,7.039468303963325e-06,5.008738028805031e-08,-3.838386662423103e-05
5.009525525431615e-08,-1.737796242209636e-05,5.008170170041589e-08,-8.838526891604639e-06,5.013961240912886e-08,1.639160361641988e-05,5.009044243769014e-08,-2.755266089637487e-05
5.009762762715807e-08,-7.427796734122688e-06,5.008429611039498e-08,3.786733367307475e-06,5.014767087338594e-08,2.07218176982837e-05,5.009362178693838e-08,-1.302236385693059e-05
5.01e-08,6.808890075356765e-07,5.008710869463922e-08,1.460391206782077e-05,5.015627179224652e-08,1.681485617168923e-05,5.009681089346919e-08,1.876005682908096e-06
5.010255132046506e-08,7.557309869360109e-06,5.009042817364529e-08,2.745653565178532e-05,5.016525385142427e-08,1.032354420037373e-05,5.01e-08,1.674575298117e-05
5.010588537613048e-08,1.807588079866114e-05,5.009454140502963e-08,2.55018153708502e-05,5.017663559884985e-08,3.954092174250518e-06,5.010250250806605e-08,2.388929477095e-05
5.010935991505659e-08,2.408503314379967e-05,5.01e-08,1.23040317691232e-05,5.01886065942317e-08,6.512216540544427e-09,5.010624301230719e-08,3.082719549308063e-05
5.01144784969612e-08,2.257286082118616e-05,5.010462556677817e-08,5.354751306391567e-06,5.020450407434822e-08,-2.216284649885437e-06,5.010992317649607e-08,3.051942610908013e-05
5.011986006167156e-08,1.503663087863687e-05,5.010990999946214e-08,-7.995814595197268e-07,5.022541242055302e-08,-2.313981162923374e-06,5.011643610109321e-08,2.07207619454581e-05
5.012617387829425e-08,6.969905011670477e-06,5.01153359218631e-08,-3.567647915515683e-06,5.025557026470329e-08,-1.390877742062733e-06,5.012287232296338e-08,9.992963565970166e-06
5.013351413834239e-08,7.701085929900055e-07,5.012618776666503e-08,-3.856081239977729e-06,5.030330893342486e-08,-3.860768999030734e-07,5.013111289369349e-08,7.847191243044996e-07
5.014268163990684e-08,-2.62739366663065e-06,5.01384457341377e-08,-1.953707574453894e-06,5.039026366598947e-08,1.993564500120621e-08,5.0140104204491e-08,-3.765146120604667e-06
5.015468822233381e-08,-3.314998072538196e-06,5.015794260089421e-08,-3.031102350354469e-07,5.05369341932766e-08,-3.290956076351813e-10,5.015211044180276e-08,-4.838568446622285e-06
5.017120279318569e-08,-2.086097003049524e-06,5.018877237033756e-08,4.142483090134492e-08,5.073341667403209e-08,-5.65012212160494e-10,5.01679754216365e-08,-3.278538117605717e-06
5.019569763769361e-08,-6.88888507737865e-07,5.024397531885959e-08,-7.087876760593623e-09,5.104141789364291e-08,1.854511401409946e-09,5.019100973034541e-08,-1.232409776239922e-06
5.023810849465938e-08,1.638295560220026e-08,5.032195108851373e-08,6.596139602147294e-09,5.146863808694427e-08,-1.467984381501094e-09,5.022804421574804e-08,-1.53016617417913e-08
5.031869403054187e-08,-4.474740324629799e-09,5.044241911663439e-08,1.090031035675345e-11,5.211778854254744e-08,2.304580151349221e-09,5.029743839423469e-08,1.296247428187579e-08
5.043362225737064e-08,7.372553008684128e-09,5.061712642744159e-08,3.791716631525467e-09,5.307106808847374e-08,-1.705457994282946e-09,5.040544922973506e-08,-1.524363350261214e-09
5.059941189345288e-08,-6.959202661983202e-09,5.088899271600089e-08,1.283851502328425e-09,5.453681282844067e-08,2.443001472255017e-09,5.056763887780418e-08,-8.86742770303545e-11
5.084460077776037e-08,7.704681066765026e-09,5.129906331058702e-08,2.959375833922036e-09,5.66414696019388e-08,-1.788699784717498e-09,5.07932426294463e-08,3.448889642864799e-09
5.122498485311029e-08,-6.934053422966651e-09,5.194241039110042e-08,1.558564741084233e-09,5.985040334316368e-08,2.495825754010982e-09,5.114340494676273e-08,-2.712549683116739e-09
5.181633209641572e-08,7.630329228015928e-09,5.293256890767938e-08,2.610129359295791e-09,6.483631063082297e-08,-1.822396816884899e-09,5.168546750952805e-08,4.283901765081934e-09
5.268219970925564e-08,-6.862620994169293e-09,5.444784299324635e-08,1.637814653442849e-09,7.228354889930376e-08,2.516204209972393e-09,5.250046500352803e-08,-3.71867181706735e-09
5.401688199521391e-08,7.574059148954639e-09,5.67229093119686e-08,2.494957057423406e-09,8.400549529937188e-08,-1.83649887351758e-09,5.373027328156165e-08,4.429598852953018e-09
5.614330933131112e-08,-6.828317809510981e-09,6.057920548658708e-08,1.693816035485654e-09,1e-07,2.524850850524891e-09,5.569959773109163e-08,-4.08165696822109e-09
5.914892856657512e-08,7.545271052068385e-09,6.626899742171073e-08,2.459974797438405e-09,1.00025e-07,9.811349512033323e-10,5.863821781385439e-08,4.54903310709877e-09
6.433381695264624e-08,-6.813782223980552e-09,7.534610248890767e-08,1.716768100758142e-09,1.000348246487051e-07,-6.996408643465809e-09,6.291246709226485e-08,-4.17832395715302e-09
7.227901999429394e-08,7.533212810912733e-09,8.94912745578203e-08,2.445515828006033e-09,1.000441212453543e-07,-1.712254522483402e-08,7.045841262398908e-08,4.610224431684215e-09
8.376029178786391e-08,-6.807082611071653e-09,1e-07,1.729968244640726e-09,1.00054730867462e-07,-3.394450087540197e-08,8.070604419956871e-08,-4.216285373167383e-09
9.188014589393195e-08,7.526134609347982e-09,1.0000625e-07,4.717353699836565e-09,1.000624961474858e-07,-8.188623787452954e-08,9.035302209978436e-08,4.643125094803819e-09
1e-07,-6.798754232541856e-09,1.000221587322989e-07,-1.124371174086993e-08,1.000711539138513e-07,1.510931001628535e-09,1e-07,-4.249917325301764e-09
1.00025e-07,8.942278248386529e-11,1.000301130984484e-07,-3.473448425675312e-10,1.000773937900019e-07,3.561588284891533e-07,1.00025e-07,1.047560049052997e-09
1.000350248885988e-07,-1.413399091749643e-08,1.000396372497438e-07,7.395041664777837e-09,1.000840266878986e-07,1.729347968309141e-06,1.00035036960911e-07,-1.790139877030288e-08
1.000400373328982e-07,-1.8613625203603e-08,1.000448315093469e-07,9.656510808825767e-09,1.000901443379159e-07,2.647294555724377e-06,1.000400554413665e-07,-2.628002814775946e-08
1.000492684980782e-07,-1.98491913584374e-08,1.000504994252998e-07,5.388800314656183e-08,1.000951352739344e-07,-1.862724907069931e-06,1.000496918244495e-07,-3.299981464962723e-08
1.000553310090036e-07,-1.856800253065216e-08,1.000551385404428e-07,3.522067622463964e-07,1.000975676369672e-07,-7.06564192876386e-06,1.000560402905974e-07,1.125770209715863e-07
1.000614522512427e-07,1.920462968673892e-07,1.000599064578402e-07,1.01922144555604e-06,1.001e-07,-1.420132222827107e-05,1.000631394141755e-07,8.446153082602125e-07
1.000674445827857e-07,1.04382603418262e-06,1.000633054588878e-07,1.520400069845436e-06,1.001024281443836e-07,-2.077133673192235e-05,1.000682287257889e-07,1.808296042986379e-06
1.00072649673719e-07,2.357785710870379e-06,1.000668367193248e-07,-1.202916786841864e-05,1.001056810922545e-07,-2.905734123346109e-05,1.000733003338443e-07,-6.936032785598883e-06
1.000771713730941e-07,-7.196982732961441e-06,1.000700145023246e-07,-4.584274783427199e-05,1.001090517365008e-07,-3.495163260512944e-05,1.000769318472474e-07,-2.610160025640095e-05
1.000805147352465e-07,-2.717124944786274e-05,1.00072777628376e-07,-6.752622908273927e-05,1.001142527195091e-07,-3.734036445248871e-05,1.000811899577834e-07,-4.702549875078504e-05
1.000840912028995e-07,-4.518189030064723e-05,1.000754709800283e-07,-7.116626244849111e-05,1.001189497484964e-07,-2.980770426736412e-05,1.00085174879976e-07,-5.495945326320744e-05
1.00087775806212e-07,-5.307418693837213e-05,1.000786969985528e-07,-5.414007580923628e-05,1.001242765823294e-07,-1.06897067644356e-05,1.000891387418606e-07,-4.280575414076728e-05
1.000915360340322e-07,-4.469923781018839e-05,1.000818734249467e-07,-1.02767723259895e-05,1.001293364103072e-07,8.024406030351847e-06,1.000931302618263e-07,-9.272443151808871e-06
1.000952704352382e-07,-1.732917059940176e-05,1.000848065863955e-07,4.269503037422802e-05,1.0013535459821e-07,2.39920418727412e-05,1.00096498319526e-07,2.137110303500939e-05
1.000976352176191e-07,6.336328401045597e-06,1.000873653725781e-07,7.471772032040033e-05,1.001410907171331e-07,3.122941131952271e-05,1.001e-07,4.150764485333822e-05
1.001e-07,2.55000313748112e-05,1.000905226582733e-07,8.716545973066785e-05,1.001489937304954e-07,3.097631959608356e-05,1.001038113031897e-07,4.792176904363033e-05
1.001035328379074e-07,3.929433492134412e-05,1.00093588413949e-07,7.950041108805743e-05,1.001580501761741e-07,2.192915749857153e-05,1.001081737573002e-07,4.97786324155003e-05
1.001072346662209e-07,4.873769988871344e-05,1.000974130634721e-07,5.202517149656375e-05,1.001713536795725e-07,8.077819544903e-06,1.001126698711195e-07,4.184481154840857e-05
1.001109408162915e-07,4.785244591343676e-05,1.001e-07,3.096255915332301e-05,1.001830511388879e-07,9.984368098170436e-07,1.001197195839128e-07,2.199385410178043e-05
1.001177123696721e-07,3.113003133882381e-05,1.001030375937459e-07,1.508139591386549e-05,1.001956930573103e-07,-2.717016865423134e-06,1.001302406679412e-07,4.04729533452499e-07
1.001248739225326e-07,1.097933854593604e-05,1.001068354832958e-07,-9.874385941319941e-07,1.002119836032986e-07,-3.918843294138143e-06,1.001387787581262e-07,-6.741326710651477e-06
1.001334180649858e-07,-1.780655907127856e-06,1.001106297846882e-07,-9.428763187107764e-06,1.00235010951112e-07,-3.218243257999029e-06,1.001485096359449e-07,-8.651112089458447e-06
1.001411725386463e-07,-6.388951022155252e-06,1.001182183874729e-07,-1.457375894801848e-05,1.002706701955692e-07,-1.517265849344717e-06,1.001610705286897e-07,-6.766827596169039e-06
1.001515242341195e-07,-7.064185298867208e-06,1.001263385227602e-07,-1.123449561926352e-05,1.003267371957328e-07,-2.986960638662142e-07,1.001796160813576e-07,-3.457231087365854e-06
1.00165333593737e-07,-5.028112341559602e-06,1.001374186852462e-07,-6.041622380244103e-06,1.004340410612562e-07,6.050867759846025e-08,1.002087002572434e-07,-6.247283304698888e-07
1.001862005803582e-07,-2.108241286484688e-06,1.001529515526805e-07,-1.771608135426968e-06,1.00648648792303e-07,-3.016798447398985e-08,1.002561528846003e-07,8.54838235948608e-08
1.002197049438634e-07,-2.932148636069608e-07,1.001797533313806e-07,2.196348686444017e-08,1.010778642543965e-07,2.394470736131492e-08,1.00351058139314e-07,-1.967259363650291e-08
