/A0 (Design_Point=1) X,/A0 (Design_Point=1) Y,/A1 (Design_Point=1) X,/A1 (Design_Point=1) Y,/Data_In_1 (Design_Point=1) X,/Data_In_1 (Design_Point=1) Y,/Data_In_2 (Design_Point=1) X,/Data_In_2 (Design_Point=1) Y,/Data_In_3 (Design_Point=1) X,/Data_In_3 (Design_Point=1) Y,/Data_In_4 (Design_Point=1) X,/Data_In_4 (Design_Point=1) Y,/EN (Design_Point=1) X,/EN (Design_Point=1) Y,/SAE (Design_Point=1) X,/SAE (Design_Point=1) Y,/WE (Design_Point=1) X,/WE (Design_Point=1) Y,/OA_Charge (Design_Point=1) X,/OA_Charge (Design_Point=1) Y,/IA_AnalogR1 (Design_Point=1) X,/IA_AnalogR1 (Design_Point=1) Y,/IA_AnalogR2 (Design_Point=1) X,/IA_AnalogR2 (Design_Point=1) Y,/IA_AnalogR3 (Design_Point=1) X,/IA_AnalogR3 (Design_Point=1) Y,/IA_AnalogR4 (Design_Point=1) X,/IA_AnalogR4 (Design_Point=1) Y,/Read_Out_1 (Design_Point=1) X,/Read_Out_1 (Design_Point=1) Y,/Read_Out_2 (Design_Point=1) X,/Read_Out_2 (Design_Point=1) Y,/Read_Out_3 (Design_Point=1) X,/Read_Out_3 (Design_Point=1) Y,/Read_Out_4 (Design_Point=1) X,/Read_Out_4 (Design_Point=1) Y
0,3.709179201831198e-12,0,2.271214863744794e-12,0,1.099999999999218,0,1.099999999999218,0,1.099999999999218,0,1.099999999999218,0,1.099999999994894,0,1.56908305680845e-13,0,1.099999999993556,0,0,0,2.859053768657166e-12,0,2.860079614343809e-12,0,2.860079614343809e-12,0,2.860079614343809e-12,0,1.099741603899693,0,1.099741603899693,0,1.099741603899693,0,1.099741603899693
8e-10,3.709179201831228e-12,8e-10,2.271214863744831e-12,8e-10,1.099999999999218,8e-10,1.099999999999218,8e-10,1.099999999999218,8e-10,1.099999999999218,8e-10,1.099999999994894,8e-10,1.569083056809927e-13,8e-10,1.099999999993556,8e-10,4.463073979628883e-21,8e-10,2.859053768657253e-12,8e-10,2.860079614343795e-12,8e-10,2.860079614343795e-12,8e-10,2.860079614343792e-12,8e-10,1.099741603899693,8e-10,1.099741603899693,8e-10,1.099741603899693,8e-10,1.099741603899693
2.4e-09,3.709179201831328e-12,2.4e-09,2.271214863744834e-12,2.4e-09,1.099999999999218,2.4e-09,1.099999999999218,2.4e-09,1.099999999999218,2.4e-09,1.099999999999218,2.4e-09,1.099999999994894,2.4e-09,1.569083056806862e-13,2.4e-09,1.099999999993556,2.4e-09,-3.386184327716446e-21,2.4e-09,2.859053768657319e-12,2.4e-09,2.860079614343803e-12,2.4e-09,2.860079614343803e-12,2.4e-09,2.860079614343802e-12,2.4e-09,1.099741603899693,2.4e-09,1.099741603899693,2.4e-09,1.099741603899693,2.4e-09,1.099741603899693
5.6e-09,3.709179201831164e-12,5.6e-09,2.271214863744807e-12,5.6e-09,1.099999999999218,5.6e-09,1.099999999999218,5.6e-09,1.099999999999218,5.6e-09,1.099999999999218,5.6e-09,1.099999999994894,5.6e-09,1.569083056809576e-13,5.6e-09,1.099999999993556,5.6e-09,3.018444281637664e-20,5.6e-09,2.859053768657151e-12,5.6e-09,2.86007961434379e-12,5.6e-09,2.860079614343789e-12,5.6e-09,2.860079614343787e-12,5.6e-09,1.099741603899694,5.6e-09,1.099741603899694,5.6e-09,1.099741603899694,5.6e-09,1.099741603899694
1.2e-08,3.709179201831171e-12,1.2e-08,2.271214863744786e-12,1.2e-08,1.099999999999218,1.2e-08,1.099999999999218,1.2e-08,1.099999999999218,1.2e-08,1.099999999999218,1.2e-08,1.099999999994894,1.2e-08,1.569083056807797e-13,1.2e-08,1.099999999993556,1.2e-08,-6.977328869339037e-20,1.2e-08,2.859053768657138e-12,1.2e-08,2.860079614343701e-12,1.2e-08,2.860079614343703e-12,1.2e-08,2.860079614343701e-12,1.2e-08,1.099741603899694,1.2e-08,1.099741603899694,1.2e-08,1.099741603899694,1.2e-08,1.099741603899694
2.48e-08,3.709179201831263e-12,2.48e-08,2.271214863744807e-12,2.48e-08,1.099999999999219,2.48e-08,1.099999999999219,2.48e-08,1.099999999999219,2.48e-08,1.099999999999219,2.48e-08,1.099999999994894,2.48e-08,1.569083056809262e-13,2.48e-08,1.099999999993556,2.48e-08,7.599090226312629e-20,2.48e-08,2.85905376865729e-12,2.48e-08,2.860079614343922e-12,2.48e-08,2.860079614343925e-12,2.48e-08,2.860079614343924e-12,2.48e-08,1.099741603899694,2.48e-08,1.099741603899694,2.48e-08,1.099741603899694,2.48e-08,1.099741603899694
3.74e-08,3.709179201831128e-12,3.74e-08,2.271214863744806e-12,3.74e-08,1.099999999999218,3.74e-08,1.099999999999218,3.74e-08,1.099999999999218,3.74e-08,1.099999999999218,3.74e-08,1.099999999994894,3.74e-08,1.569083056807771e-13,3.74e-08,1.099999999993556,3.74e-08,-9.013189953823216e-20,3.74e-08,2.859053768656918e-12,3.74e-08,2.860079614343704e-12,3.74e-08,2.860079614343706e-12,3.74e-08,2.860079614343705e-12,3.74e-08,1.099741603899693,3.74e-08,1.099741603899693,3.74e-08,1.099741603899693,3.74e-08,1.099741603899693
5e-08,3.709179201831227e-12,5e-08,2.271214863744702e-12,5e-08,1.099999999999219,5e-08,1.099999999999219,5e-08,1.099999999999219,5e-08,1.099999999999219,5e-08,1.099999999994894,5e-08,1.569083056809085e-13,5e-08,1.099999999993556,5e-08,1.057629630637076e-19,5e-08,2.859053768657592e-12,5e-08,2.860079614343909e-12,5e-08,2.860079614343909e-12,5e-08,2.860079614343908e-12,5e-08,1.099741603899693,5e-08,1.099741603899693,5e-08,1.099741603899693,5e-08,1.099741603899693
5.0025e-08,0.2749999876675265,5.0025e-08,-5.431722517523647e-12,5.0025e-08,1.099999999999218,5.0025e-08,1.099999999999218,5.0025e-08,1.099999999999218,5.0025e-08,1.099999999999218,5.0025e-08,1.099999999994735,5.0025e-08,1.566874697102311e-13,5.0025e-08,1.099999999993555,5.0025e-08,-2.349923524181384e-11,5.0025e-08,2.85862398167457e-12,5.0025e-08,2.860253155492816e-12,5.0025e-08,2.860068072864761e-12,5.0025e-08,2.860068190680606e-12,5.0025e-08,1.099741603615264,5.0025e-08,1.099741603615264,5.0025e-08,1.099741603615264,5.0025e-08,1.099741603615265
5.00347914937119e-08,0.3827064164743956,5.00347914937119e-08,-9.191574335016176e-10,5.00347914937119e-08,1.099999999999218,5.00347914937119e-08,1.099999999999218,5.00347914937119e-08,1.099999999999218,5.00347914937119e-08,1.099999999999218,5.00347914937119e-08,1.099999999959864,5.00347914937119e-08,5.577321184765417e-14,5.00347914937119e-08,1.099999999992885,5.00347914937119e-08,-1.266759449769631e-08,5.00347914937119e-08,2.593906522177049e-12,5.00347914937119e-08,2.85067842867251e-12,5.00347914937119e-08,2.845744202113488e-12,5.00347914937119e-08,2.844768451942195e-12,5.00347914937119e-08,1.099741557727647,5.00347914937119e-08,1.099741557727339,5.00347914937119e-08,1.099741557727618,5.00347914937119e-08,1.099741557728547
