/A0 (Design_Point=1) X,/A0 (Design_Point=1) Y,/A1 (Design_Point=1) X,/A1 (Design_Point=1) Y,/Data_In_1 (Design_Point=1) X,/Data_In_1 (Design_Point=1) Y,/Data_In_2 (Design_Point=1) X,/Data_In_2 (Design_Point=1) Y,/Data_In_3 (Design_Point=1) X,/Data_In_3 (Design_Point=1) Y,/Data_In_4 (Design_Point=1) X,/Data_In_4 (Design_Point=1) Y,/EN (Design_Point=1) X,/EN (Design_Point=1) Y,/SAE (Design_Point=1) X,/SAE (Design_Point=1) Y,/WE (Design_Point=1) X,/WE (Design_Point=1) Y,/OA_Charge (Design_Point=1) X,/OA_Charge (Design_Point=1) Y,/IA_AnalogR1 (Design_Point=1) X,/IA_AnalogR1 (Design_Point=1) Y,/IA_AnalogR2 (Design_Point=1) X,/IA_AnalogR2 (Design_Point=1) Y,/IA_AnalogR3 (Design_Point=1) X,/IA_AnalogR3 (Design_Point=1) Y,/IA_AnalogR4 (Design_Point=1) X,/IA_AnalogR4 (Design_Point=1) Y,/Read_Out_1 (Design_Point=1) X,/Read_Out_1 (Design_Point=1) Y,/Read_Out_2 (Design_Point=1) X,/Read_Out_2 (Design_Point=1) Y,/Read_Out_3 (Design_Point=1) X,/Read_Out_3 (Design_Point=1) Y,/Read_Out_4 (Design_Point=1) X,/Read_Out_4 (Design_Point=1) Y
0,3.690905960518164e-12,0,2.253157639432689e-12,0,1.099999999999071,0,1.099999999999071,0,1.099999999999071,0,1.099999999999071,0,1.099999999994618,0,1.553427482509589e-13,0,1.099999999992636,0,0,0,2.965627096900172e-12,0,2.966698764710781e-12,0,2.96669636759498e-12,0,2.966697420049088e-12,0,1.099808577171932,0,1.09980857713429,0,1.099808576954754,0,1.099808576780836
8e-10,3.690905956948359e-12,8e-10,2.253157630795592e-12,8e-10,1.099999999999071,8e-10,1.099999999999071,8e-10,1.099999999999071,8e-10,1.099999999999071,8e-10,1.099999999994618,8e-10,1.553428153360156e-13,8e-10,1.099999999992636,8e-10,-8.365371540821965e-15,8e-10,2.965627090184811e-12,8e-10,2.966698765193815e-12,8e-10,2.966696368342351e-12,8e-10,2.966697420672047e-12,8e-10,1.099808577172231,8e-10,1.099808577135607,8e-10,1.099808576955698,8e-10,1.09980857678186
2.4e-09,3.690905960475927e-12,2.4e-09,2.253157639134129e-12,2.4e-09,1.099999999999071,2.4e-09,1.099999999999071,2.4e-09,1.099999999999071,2.4e-09,1.099999999999071,2.4e-09,1.099999999994618,2.4e-09,1.553427405522988e-13,2.4e-09,1.099999999992636,2.4e-09,-1.078496286067391e-14,2.4e-09,2.965627094790822e-12,2.4e-09,2.966698764591559e-12,2.4e-09,2.966696367514341e-12,2.4e-09,2.966697419929833e-12,2.4e-09,1.099808577171558,2.4e-09,1.099808577136756,2.4e-09,1.099808576956303,2.4e-09,1.099808576782552
5.6e-09,3.690905960739267e-12,5.6e-09,2.253157639788966e-12,5.6e-09,1.09999999999907,5.6e-09,1.09999999999907,5.6e-09,1.09999999999907,5.6e-09,1.09999999999907,5.6e-09,1.099999999994618,5.6e-09,1.553427376922858e-13,5.6e-09,1.099999999992636,5.6e-09,-1.648059683064109e-14,5.6e-09,2.965627096814054e-12,5.6e-09,2.966698764505838e-12,5.6e-09,2.966696367570442e-12,5.6e-09,2.966697419970466e-12,5.6e-09,1.099808577168892,5.6e-09,1.099808577138935,5.6e-09,1.099808576955999,5.6e-09,1.099808576784122
1.2e-08,3.690905960451999e-12,1.2e-08,2.253157639008988e-12,1.2e-08,1.09999999999907,1.2e-08,1.09999999999907,1.2e-08,1.09999999999907,1.2e-08,1.09999999999907,1.2e-08,1.099999999994618,1.2e-08,1.553427230553591e-13,1.2e-08,1.099999999992636,1.2e-08,-3.603859918039783e-14,1.2e-08,2.965627095930828e-12,1.2e-08,2.966698764843598e-12,1.2e-08,2.966696367418141e-12,1.2e-08,2.966697419912914e-12,1.2e-08,1.099808577170761,1.2e-08,1.099808577140073,1.2e-08,1.099808576955256,1.2e-08,1.099808576781085
2.48e-08,3.690905960707227e-12,2.48e-08,2.253157640292051e-12,2.48e-08,1.09999999999907,2.48e-08,1.09999999999907,2.48e-08,1.09999999999907,2.48e-08,1.09999999999907,2.48e-08,1.099999999994618,2.48e-08,1.553427670346318e-13,2.48e-08,1.099999999992636,2.48e-08,-4.277904412261615e-14,2.48e-08,2.965627097007316e-12,2.48e-08,2.966698764345601e-12,2.48e-08,2.966696367719315e-12,2.48e-08,2.966697420149463e-12,2.48e-08,1.099808577173774,2.48e-08,1.099808577149687,2.48e-08,1.099808576959209,2.48e-08,1.099808576787104
3.74e-08,3.690905960405364e-12,3.74e-08,2.253157638423003e-12,3.74e-08,1.09999999999907,3.74e-08,1.09999999999907,3.74e-08,1.09999999999907,3.74e-08,1.09999999999907,3.74e-08,1.099999999994618,3.74e-08,1.553427132484284e-13,3.74e-08,1.099999999992636,3.74e-08,-5.855388755652117e-14,3.74e-08,2.965627095890917e-12,3.74e-08,2.966698765085859e-12,3.74e-08,2.966696367368776e-12,3.74e-08,2.966697419788716e-12,3.74e-08,1.09980857717746,3.74e-08,1.099808577152675,3.74e-08,1.099808576952905,3.74e-08,1.099808576780743
5e-08,3.690905960671755e-12,5e-08,2.253157640965679e-12,5e-08,1.09999999999907,5e-08,1.09999999999907,5e-08,1.09999999999907,5e-08,1.09999999999907,5e-08,1.099999999994618,5e-08,1.55342784328055e-13,5e-08,1.099999999992636,5e-08,-6.04213283138984e-14,5e-08,2.965627097095288e-12,5e-08,2.966698764193985e-12,5e-08,2.966696367794751e-12,5e-08,2.96669742029725e-12,5e-08,1.09980857718108,5e-08,1.099808577153703,5e-08,1.099808576963236,5e-08,1.099808576782017
5.0025e-08,0.274999980204324,5.0025e-08,7.370978452068076e-10,5.0025e-08,1.09999999999907,5.0025e-08,1.09999999999907,5.0025e-08,1.09999999999907,5.0025e-08,1.09999999999907,5.0025e-08,1.100000000010704,5.0025e-08,2.028848011370273e-13,5.0025e-08,1.099999999992681,5.0025e-08,1.89308907440945e-09,5.0025e-08,2.992038559541214e-12,5.0025e-08,2.975776772447932e-12,5.0025e-08,2.968678504005286e-12,5.0025e-08,2.968084880407409e-12,5.0025e-08,1.099808587367224,5.0025e-08,1.099808586395219,5.0025e-08,1.099808585737486,5.0025e-08,1.099808583677968
5.006416597520192e-08,0.7058256993382473,5.006416597520192e-08,-9.023061415213754e-09,5.006416597520192e-08,1.09999999999907,5.006416597520192e-08,1.09999999999907,5.006416597520192e-08,1.09999999999907,5.006416597520192e-08,1.09999999999907,5.006416597520192e-08,1.099999999175218,5.006416597520192e-08,-1.763489197560544e-12,5.006416597520192e-08,1.099999999991443,5.006416597520192e-08,-2.068972847312177e-07,5.006416597520192e-08,-8.099684311544695e-12,5.006416597520192e-08,2.750950572805977e-12,5.006416597520192e-08,2.839306369989183e-12,5.006416597520192e-08,2.85730606912546e-12,5.006416597520192e-08,1.099807805229727,5.006416597520192e-08,1.099808343980128,5.006416597520192e-08,1.099808490592786,5.006416597520192e-08,1.099808507325245
