"/OA_Charge (modelFiles=nom,VDD=1.1,temperature=27) X","/OA_Charge (modelFiles=nom,VDD=1.1,temperature=27) Y","/OA_Charge (modelFiles=l65sp_v132.lib.scs:ff_sp_lvt11,l65sp_v132.lib.scs:ff_65_momcaps,l65sp_v132.lib.scs:ff_sp_hvt11,VDD=1.21,temperature=-40) X","/OA_Charge (modelFiles=l65sp_v132.lib.scs:ff_sp_lvt11,l65sp_v132.lib.scs:ff_65_momcaps,l65sp_v132.lib.scs:ff_sp_hvt11,VDD=1.21,temperature=-40) Y","/OA_Charge (modelFiles=l65sp_v132.lib.scs:ss_65_momcaps,l65sp_v132.lib.scs:ss_sp_hvt11,l65sp_v132.lib.scs:ss_sp_lvt11,VDD=0.99,temperature=85) X","/OA_Charge (modelFiles=l65sp_v132.lib.scs:ss_65_momcaps,l65sp_v132.lib.scs:ss_sp_hvt11,l65sp_v132.lib.scs:ss_sp_lvt11,VDD=0.99,temperature=85) Y","/OA_Charge (modelFiles=l65sp_v132.lib.scs:fnsp_sp_hvt11,l65sp_v132.lib.scs:fnsp_sp_lvt11,l65sp_v132.lib.scs:tt_65_momcaps,VDD=1.1,temperature=27) X","/OA_Charge (modelFiles=l65sp_v132.lib.scs:fnsp_sp_hvt11,l65sp_v132.lib.scs:fnsp_sp_lvt11,l65sp_v132.lib.scs:tt_65_momcaps,VDD=1.1,temperature=27) Y"
nom,nom,ff,ff,ss,ss,fnsp,fnsp
0,0,0,0,0,0,0,0
8e-10,-8.365371540821965e-15,8e-10,-2.391877069644134e-15,8e-10,5.279206430242441e-15,8e-10,-2.67039753367665e-15
2.4e-09,-1.078496286067391e-14,2.4e-09,-4.457847305330564e-15,2.4e-09,3.033629235884655e-15,2.4e-09,-4.402729288486879e-15
5.6e-09,-1.648059683064109e-14,5.6e-09,-2.892058268621823e-15,5.6e-09,4.003089717235865e-15,5.6e-09,-8.133644016725807e-15
1.2e-08,-3.603859918039783e-14,1.2e-08,9.662288587229367e-15,1.2e-08,-6.675289281561964e-16,1.2e-08,-1.433267931255297e-14
2.48e-08,-4.277904412261615e-14,2.48e-08,-6.543139675417519e-16,2.48e-08,9.229485312129756e-15,2.48e-08,-2.06989261284262e-14
3.74e-08,-5.855388755652117e-14,3.74e-08,-1.359471612303322e-14,3.74e-08,9.636816282618962e-15,3.74e-08,-1.923657880429526e-14
5e-08,-6.04213283138984e-14,5e-08,1.416500142845578e-14,5e-08,4.513205296300021e-15,5e-08,-2.826461680817278e-14
5.0025e-08,1.89308907440945e-09,5.0025e-08,-5.474506708957095e-09,5.0025e-08,1.228040136662801e-08,5.0025e-08,-3.243906516178112e-09
